alert_id,transaction_id,rule_id,severity,reason,amount,currency,ts,account_id,counterparty,country
1,31,HighValueTransaction,high,Transaction amount 50000.0 >= threshold 10000.0,50000.0,USD,2026-02-14T21:47:49,1,Big Payee,USA
2,32,SanctionsKeywordMatch,high,Counterparty name matches sanctions keyword: 'sanctioned',1000.0,USD,2026-02-15T21:47:49,2,sanctioned entity,GBR
3,37,RapidVelocity,medium,5 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T21:55:49,3,Retail,FRA
4,38,RapidVelocity,medium,6 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T21:57:49,3,Retail,FRA
5,1,NetworkRingIndicator,high,Account shares 4 counterparties with 4 other account(s) (ring pattern),1314.91,USD,2026-02-13T21:47:49,1,Trade Ltd,USA
6,2,NetworkRingIndicator,high,Account shares 3 counterparties with 4 other account(s) (ring pattern),565.29,USD,2026-02-13T23:47:49,2,Acme Ltd,GBR
7,3,NetworkRingIndicator,high,Account shares 3 counterparties with 4 other account(s) (ring pattern),1385.73,USD,2026-02-14T01:47:49,3,Pay Ltd,FRA
8,4,NetworkRingIndicator,high,Account shares 3 counterparties with 4 other account(s) (ring pattern),160.39,USD,2026-02-14T03:47:49,4,Global Ltd,DEU
9,5,NetworkRingIndicator,high,Account shares 4 counterparties with 4 other account(s) (ring pattern),542.06,USD,2026-02-14T05:47:49,5,Global Ltd,IR
10,31,HighValueTransaction,high,Transaction amount 50000.0 >= threshold 10000.0,50000.0,USD,2026-02-14T21:47:49,1,Big Payee,USA
11,32,SanctionsKeywordMatch,high,Counterparty name matches sanctions keyword: 'sanctioned',1000.0,USD,2026-02-15T21:47:49,2,sanctioned entity,GBR
12,37,RapidVelocity,medium,5 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T21:55:49,3,Retail,FRA
13,38,RapidVelocity,medium,6 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T21:57:49,3,Retail,FRA
14,71,HighValueTransaction,high,Transaction amount 50000.0 >= threshold 10000.0,50000.0,USD,2026-02-14T22:30:38,1,Big Payee,USA
15,72,SanctionsKeywordMatch,high,Counterparty name matches sanctions keyword: 'sanctioned',1000.0,USD,2026-02-15T22:30:38,2,sanctioned entity,GBR
16,77,RapidVelocity,medium,5 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:38:38,3,Retail,FRA
17,78,RapidVelocity,medium,6 transactions from same account within 15 minutes,500.0,EUR,2026-02-16T22:40:38,3,Retail,FRA
18,1,NetworkRingIndicator,high,Account shares 4 counterparties with 4 other account(s) (ring pattern),1314.91,USD,2026-02-13T21:47:49,1,Trade Ltd,USA
19,2,NetworkRingIndicator,high,Account shares 3 counterparties with 4 other account(s) (ring pattern),565.29,USD,2026-02-13T23:47:49,2,Acme Ltd,GBR
